"","PC1","PC2","PC3"
"anomalia_xco2",-0.0660226787665275,0.342170698182765,0.853143783165835
"desmatamento",-0.157110339937551,0.437670792950661,-0.191867253113474
"anomalia_xch4",-0.160051903249503,0.802169584982352,0.0202335175455694
"vento",-0.229684180280344,-0.721043542604551,0.441749366969413
"lai",-0.620678240145691,0.573618673625554,0.0636202011078027
"fpar",-0.806806761701952,0.310970330033386,0.169251737724107
"precipitacao",-0.8345871413093,-0.00129825058785633,-0.248929468307041
"radiacao",-0.893194654918701,-0.325275357877563,0.106124902640014
"umidade",-0.921316204852902,-0.184724205024968,-0.188889885496913
"pressao",-0.937224053540197,-0.212594397461412,-0.0212696565274031
