"","PC1","PC2","PC3"
"anomalia_xco2",-0.0217530167979972,0.00477214158732767,-0.945472080216842
"anomalia_xch4",0.0245752622939346,0.776210026300685,-0.145414565908518
"desmatamento",0.172263653026575,0.53584153710147,-0.138819232746823
"vento",0.353742433057693,-0.756959250221197,-0.241649068253168
"lai",0.674894738637405,0.49598697971154,-0.0501456735818305
"precipitacao",0.839581452345987,0.0517315442889793,0.212401695898467
"fpar",0.87288398300192,0.19771352307213,-0.0380239867711118
"radiacao",0.914845255685143,-0.262337857146917,-0.114183987413798
"umidade",0.95021108712045,-0.0292196213069886,0.118463692688104
"pressao",0.95316792383918,-0.132713901287752,-0.0283245059591577
