"","PC1","PC2","PC3"
"anomalia_xco2",0.153679510483056,-0.624041790571149,0.606573452528991
"desmatamento",0.15506606982841,-0.33891375269929,-0.428052854721174
"vento",0.216699375520559,0.717435738607022,0.440148973481702
"anomalia_xch4",0.44408312737849,-0.604342353609271,0.483010412658968
"lai",0.674997483135852,-0.269776154704279,-0.464705625825666
"precipitacao",0.795182873939287,-0.247895410994331,-0.0206140859330567
"fpar",0.815392539171772,0.0378384301518749,-0.314977341107017
"radiacao",0.892886877976089,0.358046742754749,0.182426485581669
"pressao",0.924015450124184,0.263541110117523,0.0982171610551409
"umidade",0.944204717906543,0.049271907742624,-0.00366587797053513
