"","PC1","PC2","PC3"
"anomalia_xco2",-0.0527334677636445,0.213812900902896,0.935488988474841
"anomalia_xch4",-0.205463775320712,0.602303360447534,-0.340937934658773
"desmatamento",-0.207045121542801,0.611338628970129,0.0423977132224269
"vento",-0.331159539736781,-0.780119245820012,0.0506517106519271
"lai",-0.710558970420614,0.396087118984434,0.0660950407788951
"precipitacao",-0.857665840139961,0.148170390526135,-0.00917944744888697
"fpar",-0.891879458506606,0.105442569410622,0.00627258853413659
"radiacao",-0.919008519445822,-0.311611710528536,0.054703275976804
"pressao",-0.951596661907915,-0.185165245817483,-0.0412355996909106
"umidade",-0.957961566809706,-0.045144735431116,-0.0632094838800624
