"","PC1","PC2","PC3"
"anomalia_xco2",0.0123870529831276,0.358551942005818,0.743204101632758
"anomalia_xch4",0.0970464550503793,0.682840448301014,0.411563336170702
"vento",0.294561878496589,-0.756223487105785,0.307024635004919
"lai",0.622973171837702,0.585472798983558,-0.340543026219926
"precipitacao",0.828393954640464,-0.0680545573103277,-0.17364280187787
"fpar",0.847601446205949,0.24472003408966,-0.24343673282644
"radiacao",0.891610472748454,-0.156031359945008,0.295298595282901
"umidade",0.948224964728225,-0.10468277668804,0.000676135927401312
"pressao",0.950230529662483,-0.131920552598828,0.167132148096253
