"","PC1","PC2","PC3"
"anomalia_xco2",0.0626848649889447,0.217705724847101,0.88231808666294
"anomalia_xch4",0.146395970833357,0.707010916788335,0.0466414458913052
"desmatamento",0.167406831358892,0.494300522377219,-0.18814356389383
"vento",0.349816070887285,-0.639600779235177,0.457338350184263
"lai",0.603121722304647,0.617746494165704,0.0623496397617414
"precipitacao",0.790769935544317,-0.168125338407015,-0.263918975779602
"fpar",0.831367236639032,0.36659965413394,0.167555099293663
"radiacao",0.90118646739389,-0.264855659062469,0.0668909438295102
"umidade",0.944749903142462,-0.143643886595874,-0.171049740942739
"pressao",0.9515404537342,-0.15361614927223,-0.0604398207565784
