"","PC1","PC2","PC3"
"anomalia_xco2",0.00628457112415431,-0.0810424402735326,0.877764607985916
"desmatamento",0.134486570650453,-0.54400619837052,-0.170503050147843
"anomalia_xch4",0.146996479099079,-0.624957000147138,0.52803928926036
"vento",0.299828656752129,0.7666511552303,0.117002151804321
"lai",0.631098785101049,-0.573895903154023,-0.189480001768977
"fpar",0.830694247464331,-0.250526223051626,-0.24059911118168
"precipitacao",0.839185491010496,0.0738177124494218,0.0575821655492086
"radiacao",0.917945569074524,0.271981670741051,0.134091869031021
"pressao",0.954993367790829,0.161849920243087,0.0552723350373204
"umidade",0.955018525681922,0.0416665361572076,-3.92554970731956e-05
